Code R̩gion,Nombre bornes,nb_vp_rechargeables_el,Ratio,region,Calculated Ratio Condition,Meets Condition,Required Nombre bornes,Bornes Manquantes
11,19365,397723,20.538239091143815,ILE DE FRANCE,0.486896659232682,False,39773,20408
24,4460,54618,12.246188340807175,CENTRE VAL DE LOIRE,0.8165806144494488,False,5462,1002
27,4652,56900,12.231298366294068,BOURGOGNE FRANCHE COMTE,0.8175746924428823,False,5690,1038
28,5781,87246,15.091852620653865,NORMANDIE,0.6626091740595557,False,8725,2944
32,9249,146090,15.795221104984323,HAUTS DE FRANCE,0.6331028817852009,False,14609,5360
44,10299,140554,13.647344402369162,GRAND EST,0.7327432872774877,False,14056,3757
52,5731,86077,15.019542837201186,PAYS DE LA LOIRE,0.6657992262741498,False,8608,2877
53,4830,74511,15.426708074534162,BRETAGNE,0.6482264363651005,False,7452,2622
75,11511,146228,12.703327252193555,NOUVELLE AQUITAINE,0.7871953387860054,False,14623,3112
76,11370,156629,13.775637642919964,OCCITANIE,0.7259192103633427,False,15663,4293
84,12302,236973,19.262965371484313,AUVERGNE RHONE ALPES,0.51913087144949,False,23698,11396
93,9622,188779,19.61951777177302,PROVENCE ALPES COTE D AZUR,0.5096965234480529,False,18878,9256
94,502,16547,32.962151394422314,CORSE,0.3033782558771983,False,1655,1153
